6       3       2
1
1       You are standing at the end of a road before a small brick building.
1       Around you is a forest.  A small stream flows out of the building and
1       down a gully to the south.  The road runs up a small hill to the west.
2       You are on a road at the top of a small hill, close to a large spire
2       of rock which rises nearly fifteen meters into the air here.  You
2       can see a small brick building at the end of the road to the east.
2       To the west, the roadway is blocked by a dense forest in which
2       the trees are too closely packed for you to make any headway.
2       The road, however, was presumably passable at one time, because
2       someone took the trouble to erect a large billboard here.
3       You are inside a building, a well house for a large spring.
3       Off to the north side is a small pantry.
4       You are in a valley in the forest beside a stream tumbling along a
4       rocky bed.  The stream is flowing to the south.
5       You are in open forest, with a deep valley to the east.
6       You are in a grassy meadow in a forest near both a valley and a road.
7       At your feet all the water of the stream splashes into a two-inch slit
7       in the rock.  To the south, the streambed is bare rock.
8       You are in a 20-foot depression floored with bare dirt.  Set into the
8       dirt is a strong steel grate mounted in concrete.  A dry streambed
8       leads into the depression from the north.
9       You are in a small chamber beneath a 3x3 steel grate to the surface.
9       A low crawl over cobbles leads inward to the west.
10      You are crawling over cobbles in a low east/west passage.  There is
10      a dim light to the east.
11      You are in a debris room filled with stuff washed in from the surface.
11      A low wide passage with cobbles becomes plugged with mud and debris
11      here, but an extremely narrow canyon leads upward and west.
11      Carved on the wall is the message: "Magic Word XYZZY".
12      You are in an awkward sloping east/west canyon.
13      You are in a splendid chamber thirty feet high.  The walls are frozen
13      rivers of orange stone.  A narrow canyon and a good passage exit
13      from east and west sides of the chamber.
14      At your feet is a small pit breathing traces of white mist.  An east
14      passage ends here except for a small crack leading on.  Rough stone
14      steps lead into the pit.
15      You are at one end of a vast hall stretching forward out of sight to
15      the west.  The hall is filled with wisps of white mist swaying to
15      and fro almost as if alive.  There are passages to the north and
15      south, and a stone stairway leads upward.
16      The crack is far too small for you to follow.
17      You are on the east bank of a fissure slicing clear across the hall.
17      The mist is quite thick here, and the fissure is too wide to jump.
18      This is a low room with a crude note on the wall.  The note says,
18      "You won't get it up the steps".
19      You are in the Hall of the Mountain King, with passages off in
19      most directions, some of which appear to be newly constructed.
20      You're a little bruised, but you made it.
21      You didn't make it.
22      You are walking along a sloping north/south path which joins
22      a steeply descending northwest passage.  There is a small stream
22      beside the path, and you hear the sound of cascading water ahead.
23      You are at the west end of the Twopit Room.  There is a large hole in
23      the wall above the pit at this end of the room.
24      You are at the bottom of the eastern pit in the Twopit Room.  There is
24      a small pool of oil in one corner of the pit.
25      You are at the bottom of the western pit in the Twopit Room.  There is
25      a large hole in the wall about 25 feet above you.
26      You clamber up the plant and scurry through the hole at the top.
27      You are on the west side of the fissure in the Hall of Mists.
28      You are in a low N/S passage at a hole in the floor.  The hole goes
28      down to an E/W passage.
29      You are in the East Side Chamber of the Hall of the Mountain King.
29      There is a safe mounted in the wall here.
30      You are in the West Side Chamber of the Hall of the Mountain King.
30      A passage continues west and up here.
31      >$<
32      You can't get by the snake.
33      You are in a large room, with a passage to the south, a passage to the
33      west, and a wall of broken rock to the east.  There is a large "Y2" on
33      a rock in the room's center.
34      You are in a jumble of rock, with an exit to the west and a narrow
34      crack to the northwest.  There is also a two-inch slit in the floor.
35      You're at a low window overlooking a huge pit, which extends up out of
35      sight.  A floor is indistinctly visible over 50 feet below.  Traces of
35      white mist cover the floor of the pit, becoming thicker to the left.
35      Marks in the dust around the window would seem to indicate that
35      someone has been here recently.  Directly across the pit from you and
35      25 feet away there is a similar window in the wall of the pit.
36      You are in a dirty broken passage.  To the east is a crawl.  To the
36      west is a large passage.  Above you is a hole to another passage.
37      You are on the brink of a small clean climbable pit.  A crawl leads
37      west.
38      You are in the bottom of a small pit with a little stream, which
38      enters and exits through tiny slits.
39      You are in a large room full of dusty rocks.  There is a big hole in
39      the floor, and a passage leading east.  There is dust everywhere.
40      You have crawled through a very low wide passage parallel to and north
40      of the Hall of Mists.
41      You are at the west end of Hall of Mists.  A low wide crawl continues
41      west and another goes north.  To the south is a little passage 6 feet
41      off the floor.
42      You are in a maze of twisty little passages, all alike.
43      You are in a maze of twisty little passages, all alike.
44      You are in a maze of twisty little passages, all alike.
45      You are in a maze of twisty little passages, all alike.
46      Dead end.
47      Dead end.
48      Dead end.
49      You are in a maze of twisty little passages, all alike.
50      You are in a maze of twisty little passages, all alike.
51      You are in a maze of twisty little passages, all alike.
52      You are in a maze of twisty little passages, all alike.
53      You are in a maze of twisty little passages, all alike.
54      Dead end.
55      You are in a maze of twisty little passages, all alike.
56      Dead end.
57      You are on the brink of a thirty foot pit with a massive orange column
57      down one wall.  You could climb down here but you could not get back
57      up.  The maze continues at this level.
58      Dead end.
59      You have crawled through a very low wide passage parallel to and north
59      of the Hall of Mists.
60      You are at the east end of a very long hall apparently without side
60      chambers.  In the south wall are several wide cracks and a high
60      hole, but the hole is far above your head.  To the east a wide
60      crawl slants up.  To the north a small circular passage slants down.
61      You are at the west end of a very long featureless hall.  The hall
61      joins up with a narrow north/south passage.
62      You are at a crossover of a high N/S passage and a low E/W one.
63      Dead end.
64      You are at a complex junction.  A low hands and knees passage from the
64      north joins a higher crawl from the east to make a walking passage
64      going west.  There is also a large room above.  The air is damp here.
65      You are in Bedquilt, a long east/west passage with holes everywhere.
65      To explore at random select north, south, southwest, up, or down.
66      You are in a room whose walls resemble swiss cheese.  Obvious passages
66      go west, east, south, NE, and NW.  Part of the room is occupied by a
66      large bedrock block.
67      You are at the east end of the Twopit Room.  The floor here is
67      littered with thin rock slabs, which make it easy to descend the pits.
67      There is a path here bypassing the pits to connect passages from east
67      and west.  There are holes all over, but the only big one is on the
67      wall directly over the west pit where you can't get to it.
68      You are in a large low circular chamber whose floor is an immense slab
68      fallen from the ceiling (Slab Room).  East and west there once were
68      large passages, but they are now filled with boulders.  Low small
68      passages go north and south, and the south one quickly bends west
68      around the boulders.
69      You are in a secret N/S canyon above a large room.
70      You are in a secret N/S canyon above a sizable passage.
71      You are in a secret canyon at a junction of three canyons, bearing
71      north, south, and SE.  The north one is as tall as the other two
71      combined.
72      You are in a large low room.  Crawls lead north, NE, and SW.
73      Dead end crawl.
74      You are in a secret canyon which here runs E/W.  It crosses over a
74      very tight canyon 15 feet below.  If you go down you may not be able
74      to get back up.
75      The canyon becomes too tight to proceed.  Your only exit is west.
76      ** Unused **
77      You are in a tall E/W canyon.  A low tight crawl goes 3 feet north and
77      seems to open up.
78      The canyon runs into a mass of boulders -- dead end.
79      The stream flows out through a pair of 1 foot diameter sewer pipes.
79      It would be advisable to use the exit.
80      You are in a maze of twisty little passages, all alike.
81      Dead end.
82      Dead end.
83      You are in a maze of twisty little passages, all alike.
84      You are in a maze of twisty little passages, all alike.
85      Dead end.
86      Dead end.
87      You are in a maze of twisty little passages, all alike.
88      You are in a long, narrow corridor stretching out of sight to the
88      west.  At the eastern end is a hole through which you can see a
88      profusion of leaves.
89      There is nothing here to climb.  Use "up" or "out" to leave the pit.
90      You have climbed up the plant and out of the pit.
91      You are at the top of a steep incline above a large room.  You could
91      climb down here, but you would not be able to climb up.  There is a
91      passage leading back to the north.
92      You are in the Giant Room.  The ceiling here is too high up for your
92      lamp to show it.  Cavernous passages lead east, north, and south.  On
92      the west wall is scrawled the inscription, "FEE FIE FOE FOO" [sic].
93      The passage here is blocked by a recent cave-in.
94      You are at one end of an immense north/south passage.
95      You are in a magnificent cavern with a rushing stream, which cascades
95      over a sparkling waterfall into a roaring whirlpool which disappears
95      through a hole in the floor.  Passages exit to the south and west.
96      You are in the Soft Room.  The walls are covered with heavy curtains,
96      the floor with a thick pile carpet.  Moss covers the ceiling.  High
96      in the wall, there is an eight-inch square hole, but it is too high
96      for you to reach or see into.
97      This is the Oriental Room.  Ancient oriental cave drawings cover the
97      walls.  A gently sloping passage leads upward to the north, another
97      passage leads SE, and a hands and knees crawl leads east.
98      You are following a wide path around the outer edge of a large cavern.
98      Far below, through a heavy white mist, strange splashing noises can be
98      heard.  The mist rises up through a fissure in the ceiling.  The path
98      hugs the cavern's rim to the NE and south, while another branch forks
98      SE.  A round chute with extremely smooth walls angles sharply up
98      to the southwest.
99      You are in an alcove.  A small NW path seems to widen after a short
99      distance.  An extremely tight tunnel leads east.  It looks like a very
99      tight squeeze.  An eerie light can be seen at the other end.
100     You're in a small chamber lit by an eerie green light.  The walls and
100     ceiling are covered with tiny cracks.  A narrow tunnel exits to the
100     west, and a dark corridor leads north.  There is a hole (eight inches
100     on a side) carved into the wall, which leads to a downward shaft.
101     You're in the Dark-Room.  A corridor leading south is the only exit.
102     You are in an arched hall.  A coral passage once continued up and east
102     from here, but is now blocked by debris.  The air smells of sea water.
103     You're in a large room carved out of sedimentary rock.  The floor and
103     walls are littered with bits of shells imbedded in the stone.  A
103     shallow passage proceeds downward, and a somewhat steeper one leads
103     up.  A low hands and knees passage enters from the south.
104     You are in a long sloping corridor with ragged sharp walls.
105     You are in a cul-de-sac about eight feet across.
106     You are in an anteroom leading to a large passage to the east.  Small
106     passages go south, west and up.  The remnants of recent digging are
106     evident.  A sign in midair reads
106     -        +--------------------------------------------+        -
106     -        ! Cave under construction beyond this point. !        -
106     -        ! Proceed at own risk.                       !        -
106     -        !               -- Witt Construction Company !        -
106     -        +--------------------------------------------+        -
107     You are in a maze of twisty little passages, all different.
108     You are at Witt's End.  Passages lead off in *ALL* directions.
109     You are in a north/south canyon about 25 feet across.  The floor is
109     covered by white mist seeping in from the north.  The walls extend
109     upward for well over 100 feet.  Suspended from some unseen point far
109     above you, an enormous two-sided mirror is hanging parallel to and
109     midway between the canyon walls.  A small window can be seen in
109     either wall, some fifty feet up.  The canyon continues north and
109     south, and a dark passage leads west.
110     You're at a low window overlooking a huge pit, which extends up out of
110     sight.  A floor is indistinctly visible over 50 feet below.  Traces of
110     white mist cover the floor of the pit, becoming thicker to the left.
110     Marks in the dust around the window would seem to indicate that
110     someone has been here recently.  Directly across the pit from you and
110     25 feet away there is a similar window in the wall of the pit.
111     You are at the southern end of a north/south passage at a large hole
111     in the floor.  A large stalactite extends from the roof and almost
111     reaches the bottom of the passage below.  You could climb down it,
111     and jump from it to the floor, but having done so you would be
111     unable to reach it to climb back up.
112     You are in a little maze of twisting passages, all different.
113     You are at the edge of a large underground reservoir.  An opaque cloud
113     of white mist fills the room and rises rapidly upward.  The lake is
113     fed by a stream, which tumbles out of a hole in the wall about 10 feet
113     overhead and splashes noisily into the water somewhere within the
113     mist.  The indistinct shape of the opposite shore can be dimly seen
113     through the mist.  The only passage goes back toward the south.
114     Dead end.
115     You are at the northeast end of an immense room, even larger than
115     the Giant Room.  It appears to be a repository for the
115     "ADVENTURE" program.  Massive torches far overhead bathe the room
115     with smoky yellow light.  Just below them, some fifteen feet up,
115     is a large hole in the wall, but you could not climb to it.
115     Several black rods with rusty stars on their ends are scattered
115     about the room.  Off to one side, a great many dwarves are
115     sleeping on the floor, snoring loudly.  A sign nearby reads: "Do
115     not disturb the dwarves!"  An immense mirror is hanging against
115     one wall, and stretches to the other end of the room, where
115     various other sundry objects can be glimpsed dimly in the
115     distance.  An unoccupied telephone booth stands against the north
115     wall.  Much of the floor is covered with a thin layer of dust
115     which seems to be thicker just underneath a large hole in the
115     ceiling at the far end of the room.
116     You are at the southwest end of the repository.  To one side is a
116     small depression filled with fierce green snakes.  On the other
116     side is a row of small wicker cages, each of which contains a
116     seemingly restless little bird.  A large number of velvet pillows are
116     scattered about on the floor.  To the north, there is a climbable
116     pit above which (maybe twenty feet up) is a large hole into a
116     dark chamber.  A vast mirror stretches off to the northeast,
116     almost reaching the phone booth.  Mounted very low in the south
116     wall is a large steel grate, securely locked.  The floor is covered
116     with a thin layer of dust which may have fallen from the hole
116     above you.
117     You are on one side of a large, deep chasm.  A heavy white mist rising
117     up from below obscures all view of the far side.  A SW path leads away
117     from the chasm into a winding corridor.
118     You are in a long winding corridor sloping out of sight in both
118     directions.
119     You are in a secret canyon which exits to the north and east.
120     You are in a secret canyon which exits to the north and east.
121     You are in a secret canyon which exits to the north and east.
122     You are on the northeast side of a deep chasm.  A NE path leads away
122     from the chasm on this side.
123     You're in a long east/west corridor.  A faint rumbling noise can be
123     heard in the distance.
124     The path forks here.  The left fork leads northeast.  A dull rumbling
124     seems to get louder in that direction.  The right fork leads southeast
124     down a gentle slope.  The main corridor enters from the west.
125     The walls are quite warm here.  From the north can be heard a steady
125     roar, so loud that the entire cave seems to be trembling.  Another
125     passage leads south, and a low crawl goes east.
126     You are on the edge of a breath-taking view.  Far below you is an
126     active volcano, from which great gouts of molten lava come surging
126     out, cascading back down into the depths.  The glowing rock fills the
126     farthest reaches of the cavern with a blood-red glare, giving every-
126     thing an eerie, macabre appearance.  The air is filled with flickering
126     sparks of ash and a heavy smell of brimstone.  The walls are hot to
126     the touch, and the thundering of the volcano drowns out all other
126     sounds.  Embedded in the jagged roof far overhead are myriad twisted
126     formations composed of pure white alabaster, which scatter the murky
126     light into sinister apparitions upon the walls.  To one side is a deep
126     gorge, filled with a bizarre chaos of tortured rock which seems to
126     have been crafted by the devil himself.  An immense river of fire
126     crashes out from the depths of the volcano, burns its way through the
